5bb9842e29ec29b7e6554a7e26041a 121 363 100   	0.0129022 0.0290094 0.0143765   	0.0221081 0.0838168 0.0285371   	0.0222959 0.0592171 0.000329948
79e06e6c4225c4b230613d04b9f2ff 151 453 100   	0.0162542 0.0365716 0.0175522   	0.0289897 0.105062 0.0373031   	0.0289344 0.0749243 0.000391716
323a1c16344da342f270bd8a8c5199 151 453 100   	0.0160449 0.0389084 0.0173112   	0.0289657 0.104766 0.0371646   	0.0287483 0.0751347 0.000366216
7cc9d871fa7087b8e1f2aed9b455de 151 453 100   	0.0158232 0.0406126 0.0187453   	0.0285777 0.106054 0.0350786   	0.0287473 0.0755188 0.000457662
1e5c84631be3c27ca8fd2e3f5de91e 151 453 100   	0.016746 0.0381194 0.0175386   	0.0287724 0.105978 0.0359892   	0.0289786 0.0740995 0.000345122
185a09daa48269386e0c4c6b8375cf 151 453 100   	0.0160558 0.0367796 0.0174293   	0.0292007 0.106781 0.0381069   	0.029004 0.0756501 0.000337865
a5ed74e17bd16541cb8b7e7e1b68a3 151 453 100   	0.0161843 0.0383504 0.017597   	0.0291472 0.107282 0.038626   	0.0290571 0.0737166 0.000335446
048206575a62ce5ffe7b4c0f5b0600 188 564 100   	0.0165598 0.0573445 0.0198994   	0.0300286 0.15804 0.033554   	0.0305602 0.130102 0.000310696
1731ce13986542569a2356e1cd8700 188 564 100   	0.0168421 0.0585729 0.0180827   	0.0301218 0.160522 0.032791   	0.0303281 0.130283 0.000404333
f88d3c0b484eaf34b58c8884c7bb10 188 564 100   	0.0168601 0.057535 0.0188821   	0.0300345 0.163434 0.0342443   	0.0300507 0.129509 0.000311725
144e71e587461f28bdbd9d2375a3a4 188 564 100   	0.0170899 0.0563431 0.0198936   	0.030603 0.160892 0.0338981   	0.0305848 0.127224 0.000333159
dd5d35f780e37e24912495e05d36d2 188 564 100   	0.0169015 0.0570036 0.0194946   	0.0306267 0.158857 0.034172   	0.0302369 0.131869 0.000305014
3edcf4929a4ad49434ec346457e232 188 564 100   	0.0170363 0.0583937 0.0183787   	0.0309468 0.159762 0.0327592   	0.0305 0.12858 0.000302739
b54bff70d92f16f48a91051ad54909 235 705 100   	0.0178255 0.0513921 0.0212136   	0.0333079 0.149198 0.0426239   	0.0334947 0.11465 0.00044203
ea8e5930ff783fc6c312960efddd2c 235 705 100   	0.0180498 0.0506512 0.0207375   	0.0336297 0.14697 0.0412732   	0.0333658 0.117715 0.000407537
b848aafc3494068888776613071522 235 705 100   	0.0180036 0.0503069 0.0227877   	0.0336622 0.150765 0.0420925   	0.0335168 0.114571 0.000395134
26f6b2c9d4155619ee4aff3e1ea44c 235 705 100   	0.0180982 0.0505254 0.0219794   	0.0335605 0.151711 0.0409972   	0.0335622 0.114763 0.000396358
d85fddddded324b421a6b9a7b107b6 235 705 100   	0.0181309 0.0505512 0.0204893   	0.033765 0.150399 0.0406412   	0.0341537 0.113485 0.000385896
a8eb99dfca5797fa9ee057b28fed73 235 705 100   	0.0181111 0.0517263 0.0221415   	0.0338055 0.151592 0.0417763   	0.0337802 0.114546 0.000383687
5e755ae8e95cdc0a5a23d90d2b76a4 293 879 100   	0.0226327 0.0694498 0.0282632   	0.0432672 0.250897 0.0621973   	0.0454949 0.202549 0.000574606
7fa082cd80db179115f2d38d9355da 293 879 100   	0.0232837 0.0679093 0.0277107   	0.0440632 0.25044 0.0621601   	0.0466124 0.217276 0.000557
8c7b4a3a9ff4857a4848d2901475e3 293 879 100   	0.0230082 0.071181 0.0277675   	0.0443342 0.27222 0.0675648   	0.0478569 0.203299 0.00058297
